Initial BitLen: 5 	 1 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
5 	 0.0 	 323 	 23 	 263
6 	 0.0 	 1849 	 47 	 563
7 	 0.0 	 7373 	 121 	 7081
8 	 0.0 	 30301 	 133 	 14413
9 	 0.0 	 130309 	 287 	 903
10 	 0.015625 	 393293 	 547 	 11467
11 	 0.0 	 2264159 	 1055 	 1123007
12 	 0.03125 	 9216643 	 3769 	 6666569
13 	 0.03125 	 22283759 	 8143 	 76591
14 	 0.0625 	 142989559 	 8233 	 136974617
15 	 0.265625 	 746974363 	 30447 	 547303823
16 	 0.34375 	 2465858159 	 35489 	 964027409
17 	 0.75 	 7103372207 	 104579 	 4041757643
18 	 2.15625 	 27099484429 	 255157 	 3607067773
19 	 3.671875 	 81323402669 	 473237 	 57690703853
Initial BitLen: 5 	 1 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
5 	 0.0 	 361 	 25 	 13
6 	 0.0 	 3233 	 59 	 899
7 	 0.0 	 9271 	 79 	 8383
8 	 0.0 	 25283 	 131 	 11051
9 	 0.0 	 182293 	 379 	 174259
10 	 0.0 	 509627 	 961 	 354841
11 	 0.0 	 1867703 	 1391 	 1253591
12 	 0.015625 	 8916697 	 3287 	 3543143
13 	 0.015625 	 38606959 	 5947 	 8871459
14 	 0.0625 	 148453373 	 11567 	 67111823
15 	 0.125 	 384154481 	 26725 	 280802689
16 	 0.375 	 2300631757 	 62957 	 2147934693
17 	 0.46875 	 13915670413 	 85717 	 3392939053
18 	 1.125 	 37564695461 	 193019 	 37135182323
19 	 2.046875 	 178290945919 	 320693 	 28570401677
Initial BitLen: 5 	 1 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
5 	 0.0 	 437 	 19 	 271
6 	 0.0 	 2021 	 37 	 1201
7 	 0.0 	 9017 	 107 	 8243
8 	 0.0 	 43259 	 229 	 37789
9 	 0.0 	 121679 	 463 	 72367
10 	 0.015625 	 563833 	 941 	 182261
11 	 0.0 	 1559149 	 1243 	 1506547
12 	 0.015625 	 13406333 	 4079 	 581423
13 	 0.03125 	 37902751 	 7931 	 5957555
14 	 0.078125 	 89682991 	 12481 	 6063329
15 	 0.125 	 436683671 	 26021 	 181529933
16 	 0.203125 	 1561974703 	 43051 	 1482442099
17 	 0.75 	 4941993197 	 127747 	 380502571
18 	 1.59375 	 48440736373 	 244883 	 41386194779
19 	 1.765625 	 191076099239 	 287471 	 28365070631
Initial BitLen: 5 	 4 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
5 	 0.0 	 391 	 21 	 285
6 	 0.0 	 2773 	 45 	 2253
7 	 0.0 	 8881 	 125 	 6745
8 	 0.0 	 42593 	 167 	 10103
9 	 0.0 	 243013 	 343 	 154531
10 	 0.015625 	 430363 	 941 	 384365
11 	 0.0 	 2022023 	 1625 	 736841
12 	 0.0 	 6774199 	 2387 	 6156363
13 	 0.015625 	 61889689 	 4319 	 4885163
14 	 0.03125 	 234512141 	 10387 	 101585323
15 	 0.109375 	 970509373 	 20915 	 812363723
16 	 0.34375 	 3595069967 	 62741 	 635953325
17 	 0.53125 	 9389616367 	 103639 	 6470551159
18 	 1.0625 	 40221642151 	 143261 	 8399625093
19 	 2.3125 	 183071615549 	 447143 	 114745381067
20 	 3.625 	 997743019043 	 577067 	 114023197955
21 	 7.90625 	 2778194331047 	 1273973 	 352179142877
22 	 14.28125 	 7524586650407 	 2428081 	 4275567252721
23 	 35.921875 	 38226447604523 	 5590033 	 880481584777
24 	 49.71875 	 103425102104867 	 8500553 	 100727772705017
